rownum,stateabbrv,avg smoke,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,avg obese,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,avg exercise,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,VA,0.2022,0.246,0.237,0.194,0.132,0.264,0.316,0.256,0.261,0.221,0.757,0.600,0.745,0.822,0.861,14.464,"8,985.06",0.186,0.651,86.005,83.711,73.562,80.341,68.023,57.603,0.111,0.111,0.109,0.189,0.343,0.113,0.108,0.523,-0.950,34.573,30.820,3.075,0.034,0.284,0.373,0.683,0.091,4.473,0.028,0.029,436.34,0.253,"34,928.80","146,902.74",5.897,15.309,5.390,,22.660,"3,090.38",-0.034,37.927,0.261,0.006,"2,365.74",0.028,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NC,0.2150,0.270,0.231,0.197,0.163,0.305,0.425,0.307,0.271,0.215,0.763,0.618,0.745,0.827,0.861,20.097,"8,275.35",1.739,0.840,88.506,88.577,72.488,80.267,70.883,73.249,0.037,0.042,0.029,0.158,0.365,0.170,0.111,0.461,-1.066,46.622,28.764,2.609,0.072,0.191,0.292,0.594,0.162,2.238,0.013,0.016,41.08,0.387,"32,919.36","124,964.45",5.723,14.225,-0.067,0.026,16.996,880.00,-0.084,37.506,0.262,0.009,"2,822.53",0.025,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,VA,0.2013,0.235,0.204,0.220,0.146,0.333,0.407,0.316,0.278,0.333,0.707,0.589,0.717,0.761,0.760,18.755,"8,439.44",0.416,0.711,86.313,88.907,66.032,85.903,65.021,60.061,0.008,0.007,0.007,0.027,0.328,0.170,0.080,0.507,-0.650,40.651,39.826,1.332,0.053,0.083,0.090,0.536,0.208,1.225,0.009,0.008,40.76,0.318,"28,197.59","101,445.03",5.389,,4.092,-0.003,11.720,"5,394.80",0.152,37.989,0.266,0.004,"1,348.77",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,VA,0.1687,0.298,0.200,0.134,0.043,0.291,0.458,0.205,0.250,0.250,0.735,0.560,0.780,0.701,0.900,16.525,"8,281.49",-0.857,0.824,84.926,87.446,74.592,84.957,63.091,58.754,0.050,0.048,0.056,0.132,0.321,0.114,0.098,0.544,-0.185,57.451,18.070,0.952,0.038,0.177,0.246,0.626,0.221,1.967,0.009,0.009,107.63,0.309,"34,416.57","133,388.46",5.263,,3.333,,18.851,"12,558.86",0.057,39.243,0.230,0.004,"1,481.38",0.018,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,VA,0.2072,0.270,0.223,0.203,0.133,0.241,0.292,0.261,0.226,0.187,0.773,0.641,0.744,0.827,0.881,15.010,"8,714.50",-0.328,0.509,83.361,85.112,69.144,82.232,65.279,51.898,0.119,0.114,0.125,0.257,0.345,0.093,0.115,0.463,0.249,43.283,30.254,2.274,0.031,0.307,0.373,0.671,0.117,4.327,0.019,0.013,237.29,0.238,"41,886.04","151,892.43",5.919,,4.649,,28.469,"5,093.10",-0.018,37.872,0.259,0.008,"2,427.83",0.025,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,VA,0.2170,0.301,0.243,0.207,0.117,0.278,0.337,0.269,0.259,0.249,0.762,0.597,0.740,0.825,0.884,14.363,"8,022.82",0.289,0.929,84.459,85.247,75.872,79.959,70.701,47.397,0.087,0.082,0.095,0.181,0.330,0.106,0.092,0.521,-0.630,36.678,31.580,2.742,0.032,0.316,0.367,0.648,0.147,3.842,0.025,0.026,281.46,0.290,"36,027.37","154,104.74",5.966,,3.348,,24.017,"3,699.25",0.131,38.053,0.266,0.006,"1,807.48",0.025,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,NC,0.1966,0.231,0.237,0.172,0.146,0.369,0.420,0.425,0.373,0.258,0.717,0.603,0.685,0.742,0.839,18.106,"8,838.59",1.183,0.539,87.734,88.525,71.091,79.778,68.724,86.596,0.011,0.011,0.011,0.104,0.353,0.216,0.088,0.409,-0.596,36.384,56.683,1.065,0.083,0.008,-0.001,0.513,0.232,1.023,0.007,0.012,53.14,0.357,"27,335.06","85,357.87",5.356,16.493,-11.577,0.012,10.843,"6,297.90",-0.128,35.587,0.350,0.014,"2,041.27",0.019,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MS,0.2501,0.318,0.272,0.233,0.178,0.272,0.316,0.281,0.254,0.239,0.727,0.596,0.696,0.777,0.839,22.318,"11,015.12",1.372,-1.263,76.439,77.525,61.713,72.226,61.186,94.321,0.036,0.037,0.034,0.181,0.344,0.148,0.121,0.518,-1.630,53.542,18.216,2.128,0.050,0.244,0.372,0.619,0.133,2.586,0.020,0.019,108.37,0.298,"31,028.05","110,500.86",4.627,18.444,-3.592,0.002,16.408,955.59,-0.033,39.334,0.244,0.010,"2,072.12",0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MS,0.1745,0.203,0.232,0.171,0.093,0.310,0.370,0.308,0.294,0.269,0.689,0.523,0.671,0.789,0.772,22.560,"10,054.67",2.547,-0.817,85.085,80.708,62.750,76.320,53.501,85.603,0.015,0.016,0.013,0.138,0.376,0.208,0.135,0.451,-0.560,62.006,31.814,1.343,0.052,0.063,0.150,0.557,0.248,1.305,0.012,0.013,42.79,0.320,"26,973.97","76,138.14",4.429,17.850,-9.186,0.001,11.917,871.72,-0.088,40.067,0.258,0.008,"1,817.34",0.013,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MS,0.1824,0.246,0.199,0.177,0.107,0.303,0.324,0.288,0.320,0.279,0.724,0.593,0.710,0.786,0.808,20.703,"11,397.92",2.187,-0.238,86.102,84.703,65.276,78.076,62.271,93.371,0.062,0.049,0.072,0.220,0.396,0.207,0.113,0.441,-0.707,61.003,29.766,1.096,0.046,0.214,0.407,0.605,0.132,1.332,0.021,0.019,64.60,0.358,"28,079.07","95,157.24",4.261,16.789,-7.941,-0.005,20.119,"3,586.31",0.109,39.391,0.269,0.009,"2,011.35",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
