rownum,stateabbrv,avg smoke,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,avg obese,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,avg exercise,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,MO,0.2270,0.304,0.259,0.197,0.148,0.259,0.312,0.259,0.253,0.211,0.756,0.608,0.740,0.808,0.866,12.887,"9,949.90",-0.815,0.134,78.198,85.104,68.170,78.921,68.614,67.559,0.113,0.103,0.117,0.410,0.314,0.101,0.157,0.476,0.432,50.882,19.533,1.516,0.045,0.084,0.171,0.668,0.142,3.330,0.013,0.014,382.07,0.241,"42,679.79","141,214.46",6.356,17.154,-5.332,0.004,25.885,"9,685.05",-0.023,38.417,0.247,0.010,"1,896.45",0.022,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,MO,0.2071,0.462,0.200,0.167,0.000,0.257,0.154,0.308,0.167,0.400,0.829,0.615,0.867,0.833,1.000,16.004,"9,019.95",-1.613,0.102,81.381,85.487,67.034,82.750,65.921,84.323,0.011,0.008,0.012,0.103,0.260,0.138,0.089,0.632,0.882,66.009,5.512,0.745,0.044,0.000,0.080,0.597,0.228,0.845,0.020,0.022,30.87,0.463,"30,615.40","81,994.46",5.536,15.317,-3.478,0.010,11.806,,,44.909,0.197,0.007,"1,300.82",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,IL,0.3028,0.286,0.318,0.357,0.250,0.348,0.381,0.455,0.357,0.200,0.708,0.667,0.773,0.643,0.750,13.362,"8,492.93",1.911,-0.339,85.425,83.508,66.518,75.739,60.436,85.503,0.029,0.023,0.034,0.219,0.260,0.105,0.080,0.634,1.224,58.213,3.980,2.427,0.048,-0.050,0.057,0.615,0.158,1.993,0.010,0.010,34.15,0.472,"30,776.67","83,333.80",4.401,18.137,2.465,0.007,14.931,"11,827.68",0.248,44.918,0.183,,"1,361.49",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,IL,0.2103,0.330,0.209,0.184,0.118,0.263,0.262,0.293,0.263,0.232,0.737,0.529,0.771,0.775,0.874,11.413,"8,898.62",0.214,0.438,85.423,86.518,67.436,77.768,71.628,69.169,0.087,0.077,0.097,0.230,0.257,0.092,0.172,0.527,1.834,56.557,7.826,1.098,0.042,0.047,0.105,0.668,0.065,1.694,0.015,0.016,106.79,0.367,"40,181.61","114,206.92",5.010,18.975,0.902,-0.015,24.158,"5,549.51",-0.042,41.253,0.228,0.010,"2,261.50",0.019,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,IL,0.2412,0.306,0.274,0.205,0.179,0.273,0.294,0.281,0.285,0.232,0.728,0.595,0.698,0.770,0.849,11.887,"9,228.16",0.725,0.288,85.187,84.051,65.497,81.147,69.249,70.718,0.045,0.037,0.054,0.210,0.253,0.098,0.115,0.570,0.590,50.672,5.685,1.306,0.052,0.031,0.151,0.634,0.158,1.118,0.018,0.017,116.22,0.336,"36,421.45","98,805.13",4.466,19.667,2.163,0.009,16.916,"4,504.50",0.004,42.775,0.204,,"1,583.81",0.017,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,IL,0.2149,0.350,0.250,0.157,0.103,0.247,0.327,0.244,0.183,0.235,0.740,0.587,0.720,0.854,0.800,14.031,"8,635.83",0.434,0.406,83.683,89.245,71.296,82.190,63.801,84.122,0.036,0.034,0.037,0.100,0.275,0.116,0.089,0.624,1.277,57.934,3.728,0.866,0.047,-0.026,0.087,0.635,0.183,0.888,0.007,0.007,40.39,0.496,"31,869.13","91,452.89",5.080,18.219,2.451,-0.001,14.808,"8,819.24",0.050,45.539,0.194,0.006,"1,587.65",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,AR,0.2048,0.324,0.247,0.147,0.101,0.252,0.262,0.261,0.184,0.300,0.756,0.647,0.749,0.742,0.885,22.744,"8,666.56",1.961,0.257,82.551,84.458,74.638,77.141,66.855,76.811,0.005,0.006,0.002,0.007,0.340,0.138,0.123,0.506,-0.440,43.320,0.116,0.932,0.053,0.372,0.651,0.499,0.225,1.345,0.014,0.013,33.82,0.393,"32,622.53","107,084.50",4.895,17.246,5.828,-0.007,11.525,"1,200.00",0.029,43.692,0.190,0.006,992.26,0.012,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,MO,0.3289,0.371,0.354,0.233,0.357,0.280,0.271,0.231,0.333,0.286,0.770,0.619,0.769,0.833,0.857,19.778,"8,358.11",1.405,-0.307,85.278,86.189,61.459,80.671,53.625,72.167,0.011,0.010,0.011,0.016,0.318,0.202,0.094,0.488,0.122,52.356,0.230,1.019,0.050,0.161,0.306,0.554,0.204,0.990,0.011,0.013,20.03,0.416,"26,978.95","79,657.55",4.706,15.230,2.757,-0.014,10.314,"2,190.00",-0.006,43.989,0.184,0.003,"1,251.89",0.008,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,AR,0.2059,0.302,0.262,0.170,0.090,0.238,0.288,0.289,0.162,0.213,0.734,0.547,0.759,0.808,0.824,25.110,"8,059.99",0.259,-0.339,81.192,84.052,67.417,79.386,56.590,79.136,0.015,0.017,0.014,0.120,0.322,0.166,0.096,0.537,0.176,45.500,0.104,3.951,0.046,0.294,0.497,0.586,0.209,3.040,0.013,0.013,28.09,0.419,"29,628.95","97,941.36",4.871,17.172,5.503,0.002,12.498,"1,176.00",-0.097,44.716,0.177,0.009,"1,558.31",0.014,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,AR,0.1917,0.324,0.162,0.080,0.200,0.287,0.315,0.286,0.245,0.303,0.679,0.473,0.658,0.784,0.800,23.372,"8,891.43",0.302,0.068,84.434,84.399,66.370,82.930,63.280,82.299,0.013,0.012,0.010,0.014,0.318,0.151,0.087,0.510,-0.446,48.812,0.170,1.200,0.051,0.317,0.549,0.510,0.203,1.117,0.019,0.016,27.65,0.364,"32,635.10","101,640.03",4.875,17.076,6.815,0.021,12.238,,,44.742,0.167,0.004,952.17,0.011,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,AR,0.2212,0.292,0.233,0.229,0.130,0.245,0.259,0.236,0.215,0.269,0.681,0.564,0.693,0.729,0.739,21.255,"10,153.56",0.912,-0.655,84.758,80.095,67.819,72.365,60.722,92.311,0.019,0.013,0.029,0.054,0.304,0.152,0.068,0.545,0.094,62.628,1.483,1.274,0.055,0.164,0.286,0.539,0.239,0.997,0.013,0.015,33.15,0.375,"29,503.49","79,174.10",4.942,15.863,5.831,0.001,12.389,"4,116.95",0.008,44.115,0.166,0.003,"1,433.39",0.017,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,KY,0.2640,0.388,0.286,0.241,0.140,0.271,0.332,0.296,0.240,0.216,0.701,0.493,0.687,0.792,0.831,18.189,"10,193.12",0.827,-1.122,82.593,78.372,61.711,73.553,62.008,111.268,0.033,0.029,0.034,0.104,0.306,0.152,0.075,0.564,0.128,65.077,6.520,1.026,0.054,0.019,0.150,0.590,0.224,0.925,0.007,0.010,58.42,0.401,"31,360.96","83,480.26",5.944,17.187,-2.106,0.001,10.969,"1,150.00",-0.024,43.069,0.208,0.009,"1,604.01",0.011,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,TN,0.2461,0.322,0.266,0.245,0.152,0.257,0.319,0.244,0.302,0.163,0.699,0.553,0.693,0.777,0.772,18.852,"10,809.37",1.123,-0.470,83.775,85.811,63.359,79.660,61.641,111.125,0.016,0.016,0.014,0.124,0.316,0.159,0.074,0.561,-0.110,71.321,8.119,1.717,0.058,0.023,0.107,0.588,0.280,1.705,0.013,0.014,55.01,0.403,"30,330.33","84,855.35",5.136,14.892,3.748,-0.009,12.524,"2,492.15",0.101,39.811,0.209,0.006,"1,640.53",0.013,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,KY,0.2319,0.339,0.256,0.184,0.148,0.242,0.269,0.232,0.263,0.205,0.718,0.616,0.681,0.742,0.834,16.325,"10,408.52",0.668,-0.344,83.166,84.579,60.651,82.551,67.414,111.555,0.053,0.049,0.054,0.220,0.324,0.133,0.163,0.527,0.592,67.721,6.073,0.906,0.058,0.068,0.205,0.591,0.145,0.764,0.009,0.009,72.01,0.378,"34,571.82","102,216.41",5.039,17.605,1.106,-0.006,14.669,968.23,0.029,41.090,0.210,0.006,"1,698.32",0.014,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,KY,0.2085,0.345,0.228,0.170,0.091,0.202,0.202,0.156,0.236,0.212,0.765,0.626,0.735,0.810,0.889,19.175,"9,205.67",0.922,-0.242,85.270,86.477,65.943,78.464,63.184,105.830,0.041,0.045,0.042,0.077,0.353,0.166,0.141,0.531,-0.600,60.242,3.511,1.384,0.052,0.138,0.315,0.621,0.177,2.707,0.019,0.017,88.48,0.521,"28,383.03","110,772.30",6.148,15.780,2.752,-0.022,24.000,"2,172.00",0.097,41.934,0.196,0.003,"2,207.65",0.011,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,IL,0.1825,0.306,0.204,0.133,0.087,0.304,0.286,0.333,0.233,0.364,0.682,0.500,0.755,0.733,0.739,12.866,"10,348.39",-0.236,-0.681,80.138,82.969,62.853,77.808,64.691,109.109,0.036,0.035,0.036,0.172,0.261,0.099,0.090,0.611,0.998,64.889,4.382,1.164,0.061,0.027,0.150,0.625,0.187,0.857,0.010,0.012,53.93,0.407,"33,264.89","88,654.99",4.316,20.212,4.951,0.009,12.823,"5,553.81",0.057,44.859,0.182,,"1,686.75",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,IL,0.1984,0.250,0.259,0.182,0.103,0.327,0.319,0.327,0.419,0.243,0.693,0.596,0.660,0.773,0.744,14.409,"9,564.63",1.218,-0.174,85.011,84.673,65.437,79.163,62.981,90.520,0.050,0.062,0.038,0.218,0.307,0.172,0.090,0.568,0.629,52.389,8.221,1.689,0.059,-0.008,0.103,0.572,0.123,1.957,0.010,0.009,72.79,0.418,"28,913.01","77,923.11",4.463,18.265,3.485,-0.004,16.925,"2,760.44",0.017,42.753,0.218,,"1,606.24",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,IL,0.1339,0.286,0.250,0.000,0.000,0.284,0.429,0.375,0.333,0.000,0.680,0.429,0.625,0.667,1.000,13.150,"9,915.83",1.081,-0.617,86.842,87.703,58.671,84.672,57.828,133.779,0.020,0.015,0.021,0.104,0.300,0.159,0.099,0.577,1.206,52.533,3.231,0.961,0.065,-0.083,0.015,0.533,0.079,0.758,0.007,0.009,42.90,0.429,"29,679.51","62,878.85",4.601,17.310,4.534,0.009,11.037,"6,048.00",-0.018,44.479,0.199,,"1,781.73",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,MO,0.2022,0.263,0.216,0.195,0.135,0.256,0.302,0.248,0.296,0.179,0.745,0.579,0.674,0.810,0.918,16.051,"9,135.84",1.552,-0.272,85.577,87.374,63.681,73.044,62.317,81.881,0.042,0.044,0.038,0.203,0.342,0.154,0.111,0.540,0.344,53.564,7.540,0.914,0.050,0.043,0.200,0.630,0.179,0.793,0.009,0.010,52.01,0.436,"30,141.27","96,309.37",4.671,15.957,-3.501,0.017,15.173,"3,328.59",0.160,41.415,0.225,0.007,"1,658.18",0.016,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,MO,0.3337,0.403,0.338,0.353,0.240,0.351,0.347,0.281,0.412,0.364,0.670,0.504,0.769,0.647,0.760,17.736,"9,957.18",2.352,0.028,86.464,87.520,68.708,79.742,61.827,97.717,0.032,0.027,0.031,0.112,0.360,0.203,0.096,0.481,-0.443,33.751,2.900,0.926,0.059,0.101,0.241,0.534,0.204,1.060,0.012,0.009,28.35,0.401,"28,334.39","73,197.37",4.817,16.247,-4.995,0.011,9.973,"2,484.00",-0.114,41.076,0.214,0.008,"1,174.78",0.011,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,AR,0.2403,0.326,0.279,0.314,0.042,0.301,0.366,0.324,0.235,0.277,0.614,0.468,0.653,0.662,0.671,16.904,"10,170.41",2.035,-1.156,85.462,79.393,65.997,75.400,50.726,113.767,0.033,0.033,0.035,0.228,0.374,0.249,0.075,0.419,-1.007,59.987,23.781,2.194,0.085,-0.129,-0.050,0.565,0.287,1.229,0.012,0.016,54.30,0.475,"26,795.40","68,346.74",4.637,15.901,-12.888,0.029,10.054,"1,152.00",-0.070,37.837,0.306,0.011,"1,498.62",0.012,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,AR,0.2176,0.319,0.257,0.196,0.098,0.280,0.307,0.301,0.294,0.219,0.700,0.521,0.686,0.747,0.846,20.697,"9,515.96",1.777,-0.340,85.743,84.706,67.545,76.837,59.623,97.042,0.038,0.032,0.043,0.146,0.336,0.162,0.093,0.554,-0.394,62.674,4.273,1.484,0.057,0.123,0.269,0.615,0.247,1.194,0.013,0.011,50.63,0.442,"29,115.25","85,004.80",4.696,17.115,0.329,0.003,13.889,"2,431.73",-0.003,41.063,0.198,0.009,"1,341.38",0.011,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,MN,0.2453,0.333,0.348,0.300,0.000,0.351,0.125,0.227,0.300,0.750,0.637,0.143,0.706,0.700,1.000,10.924,"8,222.02",1.639,-1.098,74.014,78.111,60.843,70.624,60.488,61.242,0.010,0.011,0.008,0.104,0.194,0.073,0.216,0.715,1.191,67.081,0.153,0.479,0.038,0.277,0.573,0.707,0.400,2.769,0.007,0.010,7.05,0.533,"33,397.61","101,004.88",6.615,17.022,10.027,-0.024,15.399,,,53.686,0.126,0.002,"5,151.97",0.021,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,MN,0.1951,0.311,0.209,0.136,0.124,0.207,0.234,0.203,0.218,0.173,0.833,0.699,0.804,0.899,0.930,10.831,"7,710.02",0.083,0.885,76.975,88.863,75.377,82.690,69.757,49.668,0.061,0.064,0.056,0.098,0.247,0.113,0.075,0.608,2.081,53.259,0.778,0.782,0.057,-0.075,0.060,0.628,0.091,1.839,0.011,0.012,27.31,0.437,"34,403.52","100,192.92",6.838,17.669,7.505,0.004,20.490,"4,583.90",0.053,44.915,0.218,0.007,"3,445.08",0.021,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,MN,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,13.093,"6,340.93",-1.879,0.554,30.111,92.188,76.563,90.625,84.615,32.570,0.000,0.000,0.000,0.037,,0.101,,,3.963,47.368,0.290,0.755,0.047,0.263,0.468,0.672,0.062,2.298,0.013,0.007,3.56,0.588,"39,705.71","143,564.10",6.391,16.860,,,28.800,,,,0.190,0.005,"4,651.76",0.038,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,MN,0.1443,0.286,0.000,0.125,0.167,0.096,0.077,0.182,0.125,0.000,0.824,0.714,0.583,1.000,1.000,11.085,"7,119.06",-0.125,-1.180,28.804,87.903,66.129,78.226,69.318,46.830,0.013,0.012,0.012,0.006,0.227,0.121,0.125,0.611,1.090,69.718,0.188,0.564,0.058,-0.183,-0.099,0.601,0.227,5.818,0.007,0.009,4.63,0.618,"37,115.17","87,178.20",7.259,16.827,-0.029,0.009,15.100,"6,322.17",-0.194,48.973,0.194,0.009,"3,124.18",0.018,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,MO,0.2309,0.315,0.281,0.164,0.164,0.311,0.307,0.270,0.371,0.296,0.699,0.550,0.688,0.750,0.808,16.982,"9,064.60",-0.419,-0.625,79.225,83.118,67.296,66.233,62.443,65.341,0.020,0.021,0.020,0.087,0.240,0.129,0.129,0.642,0.694,63.994,4.399,0.881,0.057,-0.047,0.082,0.609,0.199,0.839,0.012,0.015,23.24,0.468,"29,087.81","68,521.76",5.158,13.817,-2.659,0.006,11.796,"2,114.47",-0.062,45.098,0.189,0.006,"2,002.04",0.017,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,MO,0.2431,0.303,0.304,0.232,0.133,0.313,0.277,0.276,0.407,0.290,0.727,0.602,0.741,0.756,0.808,16.256,"9,574.27",1.112,-0.346,86.058,83.649,66.203,75.202,64.121,97.672,0.025,0.021,0.032,0.093,0.272,0.131,0.080,0.607,0.857,65.098,3.654,2.504,0.044,-0.079,0.038,0.620,0.171,1.889,0.015,0.015,24.49,0.559,"31,245.38","77,275.46",5.395,14.937,-2.981,0.002,14.610,"11,500.00",-0.026,44.754,0.188,0.006,"1,562.84",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,MO,0.3667,0.500,0.300,0.333,0.333,0.280,0.286,0.333,0.500,0.000,0.754,0.750,0.600,0.667,1.000,16.529,"9,310.00",0.934,-0.621,79.118,81.152,66.048,74.398,58.776,70.948,0.006,0.003,0.007,0.076,0.247,0.137,0.062,0.625,1.201,68.709,1.559,0.680,0.060,-0.146,-0.050,0.600,0.215,0.598,0.010,0.014,16.13,0.475,"31,878.52","56,962.60",5.365,13.326,-0.060,-0.027,11.028,,,48.562,0.174,0.004,"1,326.29",0.014,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,MO,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,18.222,"9,729.83",1.893,-0.966,86.816,81.894,65.525,73.814,53.131,110.208,0.005,0.002,0.001,0.030,0.270,0.151,0.072,0.625,1.201,74.931,0.338,1.240,0.039,-0.148,-0.053,0.595,0.179,1.173,0.009,0.009,15.94,0.497,"30,864.04","53,608.56",5.709,13.533,1.442,0.018,12.421,"1,860.00",0.102,45.552,0.194,0.005,"1,938.85",0.015,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,MO,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,21.407,"9,980.24",3.231,-1.248,84.209,79.884,63.925,70.223,60.236,124.873,0.009,0.003,0.002,0.171,0.246,0.163,0.066,0.583,0.206,47.002,0.096,5.353,0.040,-0.080,0.050,0.590,0.250,3.609,0.008,0.012,10.64,0.405,"28,324.27","54,380.27",5.690,13.648,-3.398,-0.026,9.575,,,47.695,0.167,0.003,"1,509.16",0.013,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,IA,0.2779,0.250,0.462,0.400,0.000,0.218,0.313,0.308,0.000,0.250,0.744,0.563,0.615,0.800,1.000,13.096,"8,075.13",2.498,0.576,82.645,91.961,69.337,86.547,62.223,80.434,0.008,0.010,0.004,0.031,0.251,0.141,0.082,0.638,0.926,43.424,0.248,0.887,0.042,-0.122,-0.007,0.598,0.185,0.805,0.008,0.009,20.57,0.517,"30,736.21","59,811.05",6.671,13.197,4.502,-0.015,11.831,,,50.049,0.173,0.004,"1,997.39",0.022,2.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,MO,0.1597,0.265,0.152,0.183,0.039,0.217,0.242,0.225,0.159,0.240,0.755,0.677,0.788,0.766,0.792,19.440,"9,328.15",0.583,-0.366,81.247,84.815,63.198,81.816,56.899,80.600,0.031,0.035,0.025,0.047,0.315,0.210,0.118,0.565,0.836,46.575,0.798,1.065,0.043,-0.056,0.067,0.618,0.117,1.405,0.007,0.012,21.16,0.575,"26,767.43","82,337.79",5.052,14.697,5.694,0.002,22.651,"3,680.00",0.346,47.206,0.168,0.006,"1,336.65",0.016,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,ND,0.1959,0.293,0.213,0.157,0.121,0.227,0.250,0.242,0.211,0.204,0.784,0.656,0.768,0.837,0.876,9.880,"7,912.57",-1.173,1.114,84.390,86.318,81.208,76.604,71.525,42.324,0.038,0.031,0.047,0.079,0.207,0.088,0.126,0.612,2.551,81.406,0.184,0.661,0.027,0.100,0.229,0.694,0.048,1.288,0.017,0.012,15.43,0.541,"35,395.77","113,908.04",4.835,18.336,5.047,-0.017,23.638,"3,664.79",-0.083,54.563,0.167,0.006,"2,035.23",0.019,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,ND,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,25.611,"7,854.75",-1.779,0.039,83.625,86.275,72.549,84.314,52.381,82.640,0.009,0.003,0.006,0.005,,0.203,,,0.463,85.428,0.000,0.598,0.029,-0.335,-0.324,0.546,0.030,1.556,,,1.71,0.552,"30,351.65","31,325.50",6.846,11.324,,,11.200,,,,0.091,0.004,"1,740.77",0.023,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,ND,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,18.994,"7,516.83",0.073,1.490,86.454,92.529,80.780,87.153,69.634,71.738,0.002,0.001,0.002,0.009,0.216,0.173,0.045,0.623,2.661,102.363,0.040,0.937,0.034,-0.292,-0.219,0.541,0.027,0.600,0.000,0.012,2.88,0.646,"34,910.25","42,762.00",5.665,13.939,13.552,-0.043,11.627,,,63.550,0.086,0.003,"1,455.98",0.022,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,ND,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,19.695,"8,191.40",1.052,0.607,84.572,78.378,75.676,81.081,67.742,43.510,0.001,0.000,0.000,0.013,,0.198,,,2.250,80.167,0.182,0.581,0.049,-0.282,-0.202,0.550,0.031,0.825,0.008,0.014,2.04,0.540,"29,679.99","44,522.20",7.049,12.192,,,11.000,,,,0.089,0.001,"1,648.56",0.023,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,ND,0.2137,0.318,0.286,0.174,0.077,0.255,0.280,0.300,0.130,0.308,0.787,0.639,0.774,0.891,0.846,13.964,"8,154.42",0.657,1.196,81.112,89.592,77.232,86.757,73.424,69.341,0.027,0.025,0.022,0.452,0.280,0.174,0.056,0.603,2.389,88.112,0.141,0.545,0.037,-0.133,0.008,0.613,0.060,1.242,0.004,0.013,6.41,0.627,"32,686.59","67,213.30",5.558,14.791,0.439,-0.006,16.169,"1,628.25",0.013,47.503,0.210,0.008,"1,715.92",0.023,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,ND,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,11.566,"8,160.96",-1.156,2.072,89.308,92.413,81.742,90.292,74.601,54.129,0.006,0.011,0.004,0.044,0.245,0.095,0.076,0.682,2.557,88.091,0.107,0.368,0.033,-0.202,-0.087,0.615,0.112,0.998,0.004,0.010,5.15,0.656,"36,561.34","62,220.67",4.748,16.019,6.691,-0.041,18.150,,,59.408,0.133,0.003,"1,576.29",0.023,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,ND,0.3232,0.560,0.329,0.227,0.176,0.361,0.455,0.362,0.316,0.313,0.817,0.560,0.857,0.909,0.941,17.370,"8,455.03",-1.156,-3.521,84.488,53.348,74.400,40.996,52.675,135.285,0.018,0.028,0.006,0.460,0.323,0.272,0.071,0.475,0.425,101.873,0.073,0.695,0.070,0.020,0.187,0.580,0.064,1.192,0.008,0.014,8.59,0.574,"25,045.23","68,908.09",6.415,12.610,-16.988,0.048,14.943,"1,344.00",-0.175,40.819,0.332,0.002,"1,726.02",0.016,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,ND,0.1978,0.286,0.225,0.146,0.134,0.233,0.233,0.244,0.228,0.227,0.769,0.647,0.769,0.819,0.840,11.364,"8,115.25",0.254,1.323,83.524,89.746,80.441,83.559,73.884,65.661,0.030,0.035,0.026,0.088,0.235,0.112,0.086,0.678,1.237,61.423,1.728,1.614,0.032,-0.058,0.076,0.668,0.032,1.949,0.015,0.024,11.59,0.606,"31,148.84","93,722.75",4.748,16.486,8.783,-0.027,20.485,"2,020.50",-0.034,56.233,0.156,0.005,"1,625.46",0.018,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,ND,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,14.461,"8,036.29",-1.341,0.689,81.395,92.777,78.243,77.973,62.930,70.068,0.014,0.005,0.020,0.019,0.265,0.142,0.104,0.647,2.379,83.834,0.113,0.427,0.041,-0.280,-0.176,0.560,0.032,1.010,0.002,0.008,3.52,0.665,"33,946.88","61,136.79",5.253,13.702,12.369,-0.029,13.512,,,59.953,0.139,0.001,"1,410.29",0.022,3.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,SD,#DIV/0!,,,,,#DIV/0!,,,,,#DIV/0!,,,,,28.357,"8,236.19",0.485,,77.832,80.000,,,,-69.766,0.003,0.004,0.000,0.015,,0.196,,,1.967,50.792,0.184,1.106,0.029,-0.225,-0.115,0.692,0.007,0.770,,,0.45,0.665,"25,282.67","54,845.11",5.864,11.508,,,15.695,,,,0.111,0.001,"2,352.46",0.055,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
